Genre,period_active
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,1991.0
Hip-hop,1992.0
Hip-hop,1993.0
Hip-hop,1994.0
Hip-hop,1995.0
Hip-hop,1996.0
Hip-hop,1996.0
Hip-hop,1997.0
Hip-hop,1998.0
Hip-hop,1999.0
Hip-hop,2000.0
Hip-hop,2001.0
Hip-hop,2002.0
Hip-hop,2003.0
Hip-hop,2004.0
Hip-hop,2005.0
Hip-hop,2006.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,2001.0
Hip-hop,2002.0
Hip-hop,2003.0
Hip-hop,2004.0
Hip-hop,2005.0
Hip-hop,2006.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,1996.0
Hip-hop,1997.0
Hip-hop,1998.0
Hip-hop,1999.0
Hip-hop,2000.0
Hip-hop,2001.0
Hip-hop,2002.0
Hip-hop,2003.0
Hip-hop,2004.0
Hip-hop,2005.0
Hip-hop,2006.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,1996.0
Hip-hop,1997.0
Hip-hop,1998.0
Hip-hop,1999.0
Hip-hop,2000.0
Hip-hop,2001.0
Hip-hop,2002.0
Hip-hop,2003.0
Hip-hop,2004.0
Hip-hop,2005.0
Hip-hop,2006.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,1996.0
Hip-hop,1997.0
Hip-hop,1998.0
Hip-hop,1999.0
Hip-hop,2000.0
Hip-hop,2001.0
Hip-hop,2002.0
Hip-hop,2003.0
Hip-hop,2004.0
Hip-hop,2005.0
Hip-hop,2006.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
